n, H[n]
1544, 631859200
1545, 632384000
1546, 632908800
1547, 633433600
1548, 633958400
1549, 634483200
1550, 635008000
1551, 635532800
1552, 636057600
1553, 636582400
1554, 637107200
1555, 637632000
1556, 638156800
1557, 638681600
1558, 639206400
1559, 639731200
1560, 640256000
1561, 640780800
1562, 641305600
1563, 641830400
1564, 642355200
1565, 642880000
1566, 643404800
1567, 643929600
1568, 644454400
1569, 644979200
1570, 645504000
1571, 646028800
1572, 646553600
1573, 647078400
1574, 647603200
1575, 648128000
1576, 648652800
1577, 649177600
1578, 649702400
1579, 650227200
1580, 650752000
1581, 651276800
1582, 651801600
1583, 652326400
1584, 652851200
1585, 653376000
1586, 653900800
1587, 654425600
1588, 654950400
1589, 655475200
1590, 656000000
1591, 656524800
1592, 657049600
1593, 657574400
1594, 658099200
1595, 658624000
1596, 659148800
1597, 659673600
1598, 660198400
1599, 660723200
1600, 661248000
1601, 661772800
1602, 662297600
1603, 662822400
1604, 663347200
1605, 663872000
1606, 664396800
1607, 664921600
1608, 665446400
1609, 665971200
1610, 666496000
1611, 667020800
1612, 667545600
1613, 668070400
1614, 668595200
1615, 669120000
1616, 669644800
1617, 670169600
1618, 670694400
1619, 671219200
1620, 671744000
1621, 672268800
1622, 672793600
1623, 673318400
1624, 673843200
1625, 674368000
1626, 674892800
1627, 675417600
1628, 675942400
1629, 676467200
1630, 676992000
1631, 677516800
1632, 678041600
1633, 678566400
1634, 679091200
1635, 679616000
1636, 680140800
1637, 680665600
1638, 681190400
1639, 681715200
1640, 682240000
1641, 682764800
1642, 683289600
1643, 683814400
1644, 684339200
1645, 684864000
1646, 685388800
1647, 685913600
1648, 686438400
1649, 686963200
1650, 687488000
1651, 688012800
1652, 688537600
1653, 689062400
1654, 689587200
1655, 690112000
1656, 690636800
1657, 691161600
1658, 691686400
1659, 692211200
1660, 692736000
1661, 693260800
1662, 693785600
1663, 694310400
1664, 694835200
1665, 695360000
1666, 695884800
1667, 696409600
1668, 696934400
1669, 697459200
1670, 697984000
1671, 698508800
1672, 699033600
1673, 699558400
1674, 700083200
1675, 700608000
1676, 701132800
1677, 701657600
1678, 702182400
1679, 702707200
1680, 703232000
1681, 703756800
1682, 704281600
1683, 704806400
1684, 705331200
